reviewTitle	reviewText	reviewRating	reviewDate
1	Rate	Great	4.0 out of 5 stars	on September 26, 2018
2	Works well	filters dust and works great.	5.0 out of 5 stars	on September 26, 2018
3	Years and years of Filtrete only and now, no longer	Quality has turned to least possible. I must change out near every two weeks as there is so little inside to gather dust. That is NO VALUE to me. LIke spending money for nothing. I changed old version (was same from many, many years) once a month soiled or not, now it's mandatory to change every 2 weeks since they have such little inside to hold dust. Sadly I leave and will NOT return-They just don't get it. DO NOT try to get everyone (I need 2 sizes) to change to your $10-$16 filters that are NO BETTER than these were for a long time. GREED will put you under and yes, you are doing it everywhere but most can't afford a one month for the higher price, I will NOT afford when I must change every two weeks so cost is as high as you want due to reducing quality.	1.0 out of 5 stars	on September 25, 2018
4	they hold up well	filters are great	5.0 out of 5 stars	on September 25, 2018
5	Awesome product	Great value!!	5.0 out of 5 stars	on September 23, 2018
6	Just what I wanted. Saved me a trip to ...	Just what I wanted.Saved me a trip to a big box store. Whew.	4.0 out of 5 stars	on September 23, 2018
7	that they do what their suposed to do	home	5.0 out of 5 stars	on September 22, 2018
8	Good price works like it should	Good deal for price	5.0 out of 5 stars	on September 21, 2018
9	Good basic filter.	Good basic filter.	5.0 out of 5 stars	on September 21, 2018
10	Good item	Fitzwell. Works well.	5.0 out of 5 stars	on September 21, 2018
11	Filters	It’s perfect!! Love this product!! Thank you!!	5.0 out of 5 stars	on September 20, 2018
12	Great item	Perfect	5.0 out of 5 stars	on September 20, 2018
13	A must	We need them and they work	5.0 out of 5 stars	on September 19, 2018
14	Great price & product!	Great price for the pack of these, they work well and we've had no issues.	5.0 out of 5 stars	on September 19, 2018
15	Great	Great price for these filters.	5.0 out of 5 stars	on September 18, 2018
16	Not perfectly square	These filters work great but are a hair larger than the ones I normally get. I really had to squish and force them in to fit. I would not order them again.	4.0 out of 5 stars	on September 17, 2018
17	Great service and delivery.	Fast delivery and good filters. Needed for renovation project due to mess made daily by contractor. Will re order regularly.	5.0 out of 5 stars	on September 15, 2018
18	Five Stars	Great filters for reasonable price.	5.0 out of 5 stars	on September 15, 2018
19	A very good filter	Product performs as expected. But I haven't changed out the filter yet.	4.0 out of 5 stars	on September 14, 2018
20	Amazing filters!!	Never again will I buy these anywhere but Amazon. First class product at a first class price!!!	5.0 out of 5 stars	on September 14, 2018
21	Great seller	Great product for a great price	5.0 out of 5 stars	on September 13, 2018
22	Quality product	Good sturdy filters	5.0 out of 5 stars	on September 13, 2018
23	These do fit in a normal 14 x 25 furnace	Most other filters are 13.75 x 24.75 actual size. These are not they are larger! Thus they are worthless to me and will not fit my furnace!	1.0 out of 5 stars	on September 13, 2018
24	Easy to use	Love it for my home	5.0 out of 5 stars	on September 12, 2018
25	Great price.	Works well. These arrived packaged well.  Great price.	5.0 out of 5 stars	on September 11, 2018
26	Good	Easy	5.0 out of 5 stars	on September 11, 2018
27	Basic	Does the job. Fits. Good price. Better than Home Depot.	5.0 out of 5 stars	on September 10, 2018
28	Absolutely Perfect	Came in a nice box, individually wrapped in plastic.  Filter is excellent.	5.0 out of 5 stars	on September 9, 2018
29	Better than the cheap ones I had before.  If these continue to catch the dust I will buy again.	Trapped a lot of dust!!  So far so good.  Had a big problem with dust in my house when I used the cheapest filters.	5.0 out of 5 stars	on September 8, 2018
30	good staff	decent quality. Best value. Fast delivery	5.0 out of 5 stars	on September 7, 2018
31	the perfect fit for my ac and i like the fact ...	the perfect fit for my ac and i like the fact that it comes in a sit that i can use the full year	5.0 out of 5 stars	on September 6, 2018
32	Availability	Good product and ability to get appropriate size needed was GREAT	4.0 out of 5 stars	on September 4, 2018
33	Five Stars	These are a great product!	5.0 out of 5 stars	on September 3, 2018
34	Great price	Good product. Does the job.	4.0 out of 5 stars	on September 3, 2018
35	As described	As described	5.0 out of 5 stars	on September 3, 2018
36	Not bad for the price.	Not bad for the price.	5.0 out of 5 stars	on September 3, 2018
37	Works great and fits	This size is very hard to find. We were glad to find them here.	5.0 out of 5 stars	on September 2, 2018
38	Does the Job	I’m glad I made this purchase.	5.0 out of 5 stars	on September 2, 2018
39	Not 20x30, actually 20 1/4 by 30 1/4	These are not 20x30x1, they are actually 20 1/4 by 30 1/4. You have to force the filter into the return. It is not worth returning the filters, so I will be cursing these Everytime I put one in. Of course I ordered a 6 pack of them.	3.0 out of 5 stars	on September 2, 2018
40	Double check measurements	Is wider than the description	1.0 out of 5 stars	on September 2, 2018
41	Ac filter	Great value excellent product	5.0 out of 5 stars	on September 1, 2018
42	Well worth the money	For the value you can’t do better than 3M, filtrete. Noticeable difference in how much more dust is collected compared with other filters. The multi pack deal is a great bargain.	5.0 out of 5 stars	on August 31, 2018
43	I'm a happy customer.	Just what I wanted and a lot better price than my local hardware store.  I'm a happy customer.	5.0 out of 5 stars	on August 30, 2018
44	Cheaply made	My filters came to me like this out of the box. <U+0001F621>	1.0 out of 5 stars	on August 30, 2018
45	Best way to buy filters and good quality for your ...	Best way to buy filters and good quality for your money, don't have to leave your house in the heat or cold and shop for filters. I love them and recommend them to anyone.	5.0 out of 5 stars	on August 28, 2018
46	Affordable Quality fitlers	Love that these filters last for months at a time.  I do notice more dust when I do not use these.	5.0 out of 5 stars	on August 27, 2018
47	Worked as  described	as described	5.0 out of 5 stars	on August 27, 2018
48	Five Stars	very good and useful and right ones for my air conditioner unit'	5.0 out of 5 stars	on August 26, 2018
49	Good deal	Very easy purchasing process	5.0 out of 5 stars	on August 25, 2018
50	Great quality and price	Great quality air filters delivered to my door...yes please! Great price and comes in a value pack, even better!	5.0 out of 5 stars	on August 24, 2018
51	Awful Quality. Don’t purchase	Would give it a 0 star if I could.  Filter has holes it them. Awful quality.	1.0 out of 5 stars	on August 23, 2018
52	For price great filter	They are what I expected. I would have much rather had a better quality filter due to the smoke here but this is what I had to settle for. They are cheaper than what the same ones would cost in hardware store.	4.0 out of 5 stars	on August 23, 2018
53	Works great	Works as described; pulls lots of dust etc out of the air without decreasing the efficiency of the fan too much	5.0 out of 5 stars	on August 23, 2018
54	Recommend!	Got the job done	5.0 out of 5 stars	on August 23, 2018
55	Cheap cheap cheap	This is the cliche ‘you get what you pay for’.  These are very inexpensive, more like CHEAP.  Not sturdy and the deal breaker is they are so ‘loose’, they cause a humming sound.  Proceed with caution!!!!	2.0 out of 5 stars	on August 20, 2018
56	Best Buy yet.	Yes I’m loving them.	5.0 out of 5 stars	on August 19, 2018
57	THE WORST A.C. FILTER IN 50 YEARS.	These are the worst a.c. Filters I have ever purchased in 50 years.  They are absolutely JUNK. I rn out of the ones I usually buy and sued one of these. 2 day latter my wife asked what the whistling noise was on the AC vent. I looked up and the filter was being sucked up into the air intake. And yes I did have it inserted correctly with the air flow arrows pointing in the correct direction. The problem is that they skimped on the frame for the filter so I collapses when it is h in fir sucked through it. The moron who come up with this ldea must have got his engineering degree from “ I’m Stupid” tech school. They saved money buy built a crap product. Shame on 3M for selling this junk. What a waste of money. Buyer beware!	1.0 out of 5 stars	on August 19, 2018
58	Breathing easy	Great product for a good price.	5.0 out of 5 stars	on August 19, 2018
59	Arrived quickly & works as expected	Arrived quickly & works as expected	5.0 out of 5 stars	on August 19, 2018
60	Best filters ever	Does the job!	5.0 out of 5 stars	on August 19, 2018
61	Five Stars	Great price for the quantity	5.0 out of 5 stars	on August 19, 2018
62	Value ,and convience	They do what they are intended for. clean the air.	5.0 out of 5 stars	on August 18, 2018
63	good value	this is the way to go... six pack, throw the others in the closet for the next use. boom	5.0 out of 5 stars	on August 17, 2018
64	Fast delivery accurate description	Fast delivery accurate description	5.0 out of 5 stars	on August 17, 2018
65	Five Stars	These were a great price and quality.	5.0 out of 5 stars	on August 17, 2018
66	Great value	Can’t beat the value! It’s half of what you pay for 1 in the hardware store!	5.0 out of 5 stars	on August 16, 2018
67	recommended	recommended	5.0 out of 5 stars	on August 15, 2018
68	Like it	As described	5.0 out of 5 stars	on August 15, 2018
69	Five Stars	Good product and price was fair.	5.0 out of 5 stars	on August 14, 2018
70	Good buy!	Good price for filters. Properly packaged.	5.0 out of 5 stars	on August 14, 2018
71	Five Stars	Great filters and a great price.	5.0 out of 5 stars	on August 13, 2018
72	Great value	Great value for great price.	5.0 out of 5 stars	on August 13, 2018
73	Five Stars	Works as expected!	5.0 out of 5 stars	on August 13, 2018
74	Thanks	Thanks	5.0 out of 5 stars	on August 13, 2018
75	Great value	Perfect fit at a great price	5.0 out of 5 stars	on August 13, 2018
76	Great price	Great price & cheaper than Home Depot	5.0 out of 5 stars	on August 12, 2018
77	Doesn’t fit	The size that should fit in my furnace doesn’t	1.0 out of 5 stars	on August 12, 2018
78	two day delivery and a good	Convenient, two day delivery and a good price	5.0 out of 5 stars	on August 12, 2018
79	Get comparable product for much less	Overpriced	3.0 out of 5 stars	on August 12, 2018
80	Filters	My go to HVAC filter that gets changed every other month religiously. Cheap maintenance item compared to replacing expensive parts.	4.0 out of 5 stars	on August 11, 2018
81	Great basic filter	Does what it was built to do. Great price too.	5.0 out of 5 stars	on August 11, 2018
82	Noisy Little Filter	After installing, I've noticed that whenever the air kicks on, it makes a little weird noise I wasn't prepared for.  Now that I know what it is, I'm slowly adjusting.	4.0 out of 5 stars	on August 11, 2018
83	Thin and poor quality	I expected more from Filtrete but I guess you get what you pay for.	2.0 out of 5 stars	on August 10, 2018
84	Sizing.	Works fine.	5.0 out of 5 stars	on August 9, 2018
85	Price	Great price.	5.0 out of 5 stars	on August 9, 2018
86	Do a great job	I've been purchasing these Filtrete Clean Living AC filters for several years. They work well and really hold on to any pet hair/dust/dander. I recommend these filters!	5.0 out of 5 stars	on August 8, 2018
87	Clean it up	Nice pack	5.0 out of 5 stars	on August 8, 2018
88	these are great if you don't mind changing them every week as ...	these are great if you don't mind changing them every week as they are too tight knit to let the air thru and my AC guy said that if I don't want to burn out my unit I have to either increase my intake 4x larger or go back to the E-Z Flow filters...	1.0 out of 5 stars	on August 8, 2018
89	It's healthy product	I like the product and I used it for my air conditioner	5.0 out of 5 stars	on August 8, 2018
90	Five Stars	great product. high quality. very happy.	5.0 out of 5 stars	on August 7, 2018
91	Can't beat the price	Same product as I used to buy in store, serves the same function, but at better price.	5.0 out of 5 stars	on August 7, 2018
92	They filter stuff	They make dirty air less dirty.  No complaints	5.0 out of 5 stars	on August 6, 2018
93	Avoidable  filter for ac	Work good collect  all dirt	5.0 out of 5 stars	on August 5, 2018
94	great filter	good product, price and delivery time. cant go wrong with filtrete!	5.0 out of 5 stars	on August 5, 2018
95	Great price--with a full stock, it might actually get changed once and a while.	Almost bought TWO of these at Costco for $30 and then came here and got six for less!  With a storage box to boot.  Call me satisfied.	5.0 out of 5 stars	on August 4, 2018
96	GreAt!	Great filters. Good price.	5.0 out of 5 stars	on August 4, 2018
97	Awful	Awful  and DangerousCut my finger and had to get three stitches.	1.0 out of 5 stars	on August 3, 2018
98	Works good	Good value	5.0 out of 5 stars	on August 3, 2018
99	The cardboard frame is thicker, making it more difficult to slide into unit tracks.	Works well.	4.0 out of 5 stars	on August 3, 2018
